Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit (LC),Bill of Lading (Document 2.txt),Port of Discharge,"Cat Lai Terminal, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",Port of Discharge is not specific as per LC requirements.
Letter of Credit (LC),Bill of Lading (Document 2.txt),Net Weight,"4,000.00 kg","3,998.00 kg",Net Weight discrepancy.
Letter of Credit (LC),Bill of Lading (Document 2.txt),Shipped on Board Date,Not later than 25-Sep-2025,26-Sep-2025,Shipped on Board Date exceeds the latest shipment date specified in the LC.
Letter of Credit (LC),Commercial Invoice (Document 5.txt),Goods Description,100% cotton,97% cotton / 3% elastane,Goods description does not match LC requirements.
Letter of Credit (LC),Commercial Invoice (Document 5.txt),Net Weight,"4,000.00 kg","3,998.00 kg",Net Weight discrepancy.
Letter of Credit (LC),Packing List (Document 8.txt),Gross Weight,"4,200.00 kg","4,198.00 kg",Gross Weight discrepancy.
Letter of Credit (LC),Packing List (Document 8.txt),Net Weight,"4,000.00 kg","3,998.00 kg",Net Weight discrepancy.
Letter of Credit (LC),Quality Certificate (Document 11.txt),Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Buyer Specification revision not mentioned in LC.
Letter of Credit (LC),Insurance Certificate (Document 13.txt),Claims Payable,Vietnam,"Dubai, United Arab Emirates",Claims Payable location does not match LC requirements.
Letter of Credit (LC),Insurance Certificate (Document 13.txt),Coverage,Institute Cargo Clauses (C),Institute Cargo Clauses (A),Coverage type does not match LC requirements.
