Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Document 10.txt,Goods Description,"Knitted cotton T-shirts, 100% cotton","Knitted T-shirts, 97% cotton / 3% elastane",Fiber content mismatch
Letter of Credit,Document 10.txt,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy
Letter of Credit,Document 10.txt,Remarks,Not specified,Banking charges outside UAE for applicant as per sales terms,Extra information in remarks
Letter of Credit,Document 2.txt,Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Specification revision mismatch
Letter of Credit,Document 3.txt,Coverage,"Institute Cargo Clauses (C), Institute War Clauses (Cargo), Institute Strikes, Riots and Civil Commotions (Cargo)","Institute Cargo Clauses (A), Institute War Clauses (Cargo), Institute Strikes, Riots & Civil Commotions (Cargo)",Coverage clause mismatch
Letter of Credit,Document 3.txt,Claims Payable,Vietnam,"Dubai, United Arab Emirates",Claims payable location mismatch
Letter of Credit,Document 6.txt,On Board Notation Date,Not later than 25-Sep-2025,26-Sep-2025,Late shipment date
Letter of Credit,Document 8.txt,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy
Letter of Credit,Document 8.txt,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy
Letter of Credit,Document 8.txt,Cartons per Pallet,50 pieces per carton,Pallet 7 = 49 cartons,Quantity discrepancy in pallet 7
Letter of Credit,Document 8.txt,Total Cartons,350 cartons,349 cartons,Total carton count discrepancy
