Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
LC (ilc.txt),Bill of Lading.txt,Port of Loading,ANY SEAPORT IN JAPAN,"YOKOHAMA, JAPAN",Compliant Match,Low
LC (ilc.txt),Bill of Lading.txt,Port of Discharge,"ANY SEAPORT IN ABU DHABI, UAE",ABU DHABI SEAPORT,Compliant Match,Low
LC (ilc.txt),Bill of Lading.txt,Freight,Freight Prepaid,Freight Prepaid,Compliant Match,Low
LC (ilc.txt),Bill of Lading.txt,Vessel Age,Less than 25 years,12 years (Built 2009),Compliant Match,Low
LC (ilc.txt),Commercial Invoice.txt,Invoice Number,B7WE-20-5130-X,B7WE-20-5130-X,Compliant Match,Low
LC (ilc.txt),Commercial Invoice.txt,Origin of Goods,Japan,Japan,Compliant Match,Low
LC (ilc.txt),Commercial Invoice.txt,Amount,"USD 60,465.00","USD 60,465.00",Compliant Match,Low
LC (ilc.txt),Insurance Certificate.txt,Vessel Age,Less than 25 years,12 years (Built 2009),Compliant Match,Low
LC (ilc.txt),Insurance Certificate.txt,Coverage,Full value of invoice + 10%,"USD 66,512.00",Compliant Match,Low
LC (ilc.txt),Certificate of Origin.txt,Origin of Goods,Japan,Japan,Compliant Match,Low
LC (ilc.txt),Packing List.txt,Batch Number,K21020UA,K21020UA,Compliant Match,Low
LC (ilc.txt),Packing List.txt,Manufacturing Date,MAR. 2021,MAR. 2021,Compliant Match,Low
LC (ilc.txt),Packing List.txt,Expiry Date,FEB. 2024,FEB. 2024,Compliant Match,Low
