Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
LC (ilc.txt),BOL (Bill Of Lading.txt),Port of Loading,ANY SEAPORT IN JAPAN,"YOKOHAMA, JAPAN",Compliant Match,Low
LC (ilc.txt),BOL (Bill Of Lading.txt),Port of Discharge,"ANY SEAPORT IN ABU DHABI, UAE",ABU DHABI SEAPORT,Compliant Match,Low
LC (ilc.txt),BOL (Bill Of Lading.txt),Vessel Name,Not Specified,SPECTRUM N,Missing in LC,Medium
LC (ilc.txt),BOL (Bill Of Lading.txt),Shipment Date,210726,01 JUL 2021,Earlier shipment date,Medium
LC (ilc.txt),INV (Commercial Invoice.txt),Invoice Number,B7WE-20-5130-X,B7WE-20-5130-X,Compliant Match,Low
LC (ilc.txt),INV (Commercial Invoice.txt),Goods Description,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,Compliant Match,Low
LC (ilc.txt),INV (Commercial Invoice.txt),Origin of Goods,JAPAN,JAPAN,Compliant Match,Low
LC (ilc.txt),INV (Commercial Invoice.txt),Amount,"USD 60,465.00","USD 60,465.00",Compliant Match,Low
LC (ilc.txt),IC (Export Import License.txt),Insurance Coverage,Full value of invoice + 10%,"US$66,512.00",Compliant Match,Low
LC (ilc.txt),IC (Export Import License.txt),Vessel Age,Up to 25 years,12 years (Built 2009),Compliant Match,Low
LC (ilc.txt),IC (Export Import License.txt),Insurance Clauses,"Institute Cargo Clause (A), War, Strike","Institute Cargo Clause (A), War, Strike",Compliant Match,Low
LC (ilc.txt),PL (Packing List.txt),Goods Description,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,Compliant Match,Low
LC (ilc.txt),PL (Packing List.txt),Batch Number,K21020UA,K21020UA,Compliant Match,Low
LC (ilc.txt),PL (Packing List.txt),Manufacturing Date,MAR. 2021,MAR. 2021,Compliant Match,Low
LC (ilc.txt),PL (Packing List.txt),Expiry Date,FEB. 2024,FEB. 2024,Compliant Match,Low
LC (ilc.txt),COO (Unknown.txt),Origin of Goods,JAPAN,JAPAN,Compliant Match,Low
LC (ilc.txt),COO (Unknown.txt),Vessel Name,Not Specified,SPECTRUM N,Missing in LC,Medium
