Base Document,Target Document,Field(s),Base Value,Target Value,Issue
ilc.txt,Document 2.txt,Port of Discharge,"Cat Lai Terminal, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",Port of discharge is not specific as per LC requirements.
ilc.txt,Document 2.txt,Place of Delivery,Not specified in LC,"Cat Lai CY, Ho Chi Minh City, Vietnam",Extra information provided in the bill of lading.
ilc.txt,Document 2.txt,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy.
ilc.txt,Document 2.txt,On Board Notation Date,Shipped on Board not later than 25-Sep-2025,Shipped on Board 26-Sep-2025,Shipment date exceeds the latest shipment date in LC.
ilc.txt,Document 4.txt,Goods Description,"Knitted cotton T-shirts, 100% cotton","Knitted T-shirts, 97% cotton / 3% elastane (short sleeve, crew neck)",Goods description does not match LC requirements.
ilc.txt,Document 4.txt,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy.
ilc.txt,Document 4.txt,Remarks,Not specified in LC,Banking charges outside UAE for applicant as per sales terms,Extra information provided in the invoice.
ilc.txt,Document 8.txt,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy.
ilc.txt,Document 8.txt,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy.
ilc.txt,Document 8.txt,Cartons per Pallet,50 pieces per carton,Pallet 7 = 49 cartons,Carton count discrepancy in Pallet 7.
ilc.txt,Document 13.txt,Coverage,"Institute Cargo Clauses (C), Institute War Clauses (Cargo), and Institute Strikes, Riots and Civil Commotions (Cargo)","Institute Cargo Clauses (A), Institute War Clauses (Cargo), Institute Strikes, Riots & Civil Commotions (Cargo)",Coverage type discrepancy (Clause C vs Clause A).
ilc.txt,Document 13.txt,Claims Payable,Vietnam,"Dubai, United Arab Emirates",Claims payable location discrepancy.
ilc.txt,Document 11.txt,Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Buyer specification revision not mentioned in LC.
