Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
ilc.txt,Bill Of Exchange.txt,LC Number,ILCAE00221000098,CA21001978,LC number mismatch,High
ilc.txt,Bill Of Lading.txt,Port of Loading,ANY SEAPORT IN JAPAN,"YOKOHAMA, JAPAN",Specific port not matching LC,Medium
ilc.txt,Bill Of Lading.txt,Port of Discharge,"ANY SEAPORT IN ABU DHABI, UAE",ABU DHABI SEAPORT,Specific port not matching LC,Medium
ilc.txt,Bill Of Lading.txt,Freight Terms,Freight Prepaid,Freight Prepaid,Fully compliant,Low
ilc.txt,Commercial Invoice.txt,Invoice Number,B7WE-20-5130-X,B7WE-20-5130-X,Fully compliant,Low
ilc.txt,Commercial Invoice.txt,Origin of Goods,Japan,Japan,Fully compliant,Low
ilc.txt,Packing List.txt,Batch Number,K21020UA,K21020UA,Fully compliant,Low
ilc.txt,Packing List.txt,Manufacturing Date,MAR. 2021,MAR. 2021,Fully compliant,Low
ilc.txt,Packing List.txt,Expiry Date,FEB. 2024,FEB. 2024,Fully compliant,Low
ilc.txt,Insurance Certificate.txt,Vessel Age,Less than 25 years,12 years (Built 2009),Fully compliant,Low
ilc.txt,Insurance Certificate.txt,Insurance Coverage,Full value + 10%,Full value + 10%,Fully compliant,Low
ilc.txt,Certificate of Origin.txt,Origin of Goods,Japan,Japan,Fully compliant,Low
