Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Bill of Lading,Gross Weight,Not specified,"9,572.85 KGS",Gross weight is not mentioned in the LC but appears in the Bill of Lading.
Letter of Credit,Bill of Lading,Freight Terms,Not specified,PREPAID,Freight terms are not mentioned in the LC but appear in the Bill of Lading.
Letter of Credit,Certificate of Origin,Country of Origin,China,Japan (in declaration of Commercial Invoice),Discrepancy in the country of origin between the Certificate of Origin and the declaration in the Commercial Invoice.
Letter of Credit,Insurance Certificate,Insured Value,Not specified,"USD 305,454.57",Insured value is not mentioned in the LC but appears in the Insurance Certificate.
Letter of Credit,Insurance Certificate,Coverage Type,Not specified,Institute Cargo Clauses (A) - All Risks,Coverage type is not mentioned in the LC but appears in the Insurance Certificate.
Letter of Credit,Packing List,Gross Weight,Not specified,"9,572.85 KGS",Gross weight is not mentioned in the LC but appears in the Packing List.
Letter of Credit,Packing List,Package Details,Not specified,"91 packages, Wooden crates/Cartons",Package details are not mentioned in the LC but appear in the Packing List.
Letter of Credit,Quality Certificate,Batch Number,Not specified,BATCH-884081,Batch number is not mentioned in the LC but appears in the Quality Certificate.
Letter of Credit,Quality Certificate,Production Date,Not specified,2025-12-13,Production date is not mentioned in the LC but appears in the Quality Certificate.
Letter of Credit,Quality Certificate,Compliance,Not specified,ISO 9001:2015 certified,Compliance details are not mentioned in the LC but appear in the Quality Certificate.
