Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit (LC),Document 1.txt,Invoice Number,Not specified,API-7789,Invoice number not mentioned in LC.
Letter of Credit (LC),Document 1.txt,Invoice Date,Not specified,"April 08, 2024",Invoice date not mentioned in LC.
Letter of Credit (LC),Document 1.txt,Contract Number,WTG-2024-010,WTG-2024-011,Contract number mismatch.
Letter of Credit (LC),Document 1.txt,Advance Amount,"EUR 50,000.00","EUR 55,000.00",Advance amount mismatch.
Letter of Credit (LC),Document 3.txt,Contract Number,WTG-2024-010,WTG-2024-011,Contract number mismatch.
Letter of Credit (LC),Document 3.txt,Contract Date,"March 20, 2024","March 25, 2024",Contract date mismatch.
Letter of Credit (LC),Document 3.txt,Goods Description,5 units of Wind Turbine Generators,6 units of Wind Turbine Generators,Goods quantity mismatch.
Letter of Credit (LC),Document 3.txt,Contract Value,Not specified,"EUR 550,000.00",Contract value not mentioned in LC.
Letter of Credit (LC),Document 3.txt,Delivery Schedule,Not specified,"Delivery to be completed on or before December 15, 2024",Delivery schedule not mentioned in LC.
Letter of Credit (LC),Document 5.txt,Payment Reference,Advance payment under Contract No. WTG-2024-010,Advance payment under Contract No. WTG-2024-010,No discrepancy.
Letter of Credit (LC),Document 5.txt,Amount Credited,"EUR 50,000.00","EUR 50,000.00",No discrepancy.
Letter of Credit (LC),Document 7.txt,Certified Delivery,Not specified,Delivery of 3 units of Wind Turbine Generators,Certified delivery not mentioned in LC.
Letter of Credit (LC),Document 7.txt,Certified Value,Not specified,"EUR 330,000.00",Certified value not mentioned in LC.
Letter of Credit (LC),Document 7.txt,Requested Reduction Amount,10% of each invoice value,"EUR 30,000.00",Reduction amount not calculated as per LC terms.
Letter of Credit (LC),Document 7.txt,Remaining Guarantee Amount,Not specified,"EUR 20,000.00",Remaining guarantee amount not mentioned in LC.
