Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
LC (ilc.txt),BOL (Bill Of Lading.txt),Port of Loading,ANY SEAPORT IN JAPAN,"YOKOHAMA, JAPAN",Compliant Match,Low
LC (ilc.txt),BOL (Bill Of Lading.txt),Port of Discharge,"ANY SEAPORT IN ABU DHABI, UAE",ABU DHABI SEAPORT,Compliant Match,Low
LC (ilc.txt),BOL (Bill Of Lading.txt),Vessel Name,Not Specified,SPECTRUM N,Missing Vessel Name in LC,Medium
LC (ilc.txt),BOL (Bill Of Lading.txt),Shipment Date,On or before 210726,01 JUL 2021,Compliant Match,Low
LC (ilc.txt),INV (Commercial Invoice.txt),Invoice Number,Not Specified,B7WE-20-5130-X,Missing Invoice Number in LC,Medium
LC (ilc.txt),INV (Commercial Invoice.txt),Goods Description,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,Compliant Match,Low
LC (ilc.txt),INV (Commercial Invoice.txt),Origin of Goods,JAPAN,JAPAN,Compliant Match,Low
LC (ilc.txt),COO (Non Preferential Certificate.txt),Origin of Goods,JAPAN,JAPAN,Compliant Match,Low
LC (ilc.txt),COO (Non Preferential Certificate.txt),Manufacturer Name,Not Specified,"AGRO-KANESHO CO., LTD",Missing Manufacturer Name in LC,Medium
LC (ilc.txt),PL (Packing List.txt),Goods Description,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,Compliant Match,Low
LC (ilc.txt),PL (Packing List.txt),Batch Number,Not Specified,K21020UA,Missing Batch Number in LC,Medium
LC (ilc.txt),INS (Export Import License.txt),Insurance Coverage,Full value of invoice + 10%,Full value of invoice + 10%,Compliant Match,Low
LC (ilc.txt),INS (Export Import License.txt),Vessel Age,Up to 25 years,12 years (Built 2009),Compliant Match,Low
