Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
DC NUMBER,B/L NUMBER,Document Number,LC12345,BOL-67890,Document number mismatch,High
DATE OF ISSUE,DATE,Date,2026-02-04,2026-03-10,Date mismatch,Medium
APPLICANT,CONSIGNEE,Party,Global Imports Inc.,To the order of Mega Bank,Consignee mismatch,High
DESCRIPTION OF GOODS,DESCRIPTION OF GOODS,Goods Description,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100",Fully compliant match,Low
INCOTERM,FREIGHT,Freight Terms,CIF Shanghai Port,Prepaid,Freight terms mismatch,Medium
DC NUMBER,INVOICE NUMBER,Document Number,LC12345,INV-2026-001,Document number mismatch,High
DATE OF ISSUE,DATE,Date,2026-02-04,2026-03-12,Date mismatch,Medium
DESCRIPTION OF GOODS,DESCRIPTION OF GOODS,Goods Description,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100 @ USD 100/unit",Pricing detail mismatch,Medium
AMOUNT,TOTAL AMOUNT,Amount,"USD 50,000","USD 50,000",Fully compliant match,Low
INCOTERM,INCOTERM,Freight Terms,CIF Shanghai Port,CIF Shanghai Port,Fully compliant match,Low
AMOUNT INSURED,AMOUNT INSURED,Insurance Amount,"110% of invoice value (USD 55,000)","USD 55,000",Fully compliant match,Low
VOYAGE,VOYAGE,Route,From any Chinese port to Shanghai Port,From Shanghai Port to New York Port,Route mismatch,High
DESCRIPTION OF GOODS,GOODS INSURED,Goods Description,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100",Fully compliant match,Low
DESCRIPTION OF GOODS,GOODS,Goods Description,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100",Fully compliant match,Low
