Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Bill of Lading,Gross Weight,Not specified,"7,525.35 KGS",Gross weight is not mentioned in the LC but appears in the BOL.
Letter of Credit,Bill of Lading,Freight Details,Not specified,PREPAID,Freight details are not mentioned in the LC but appear in the BOL.
Letter of Credit,Bill of Lading,Number of Originals,3,3/3,Formatting difference in the number of originals.
Letter of Credit,Insurance Certificate,Insured Value,Not specified,"USD 160,480.25",Insured value is not mentioned in the LC but appears in the Insurance Certificate.
Letter of Credit,Insurance Certificate,Coverage,Not specified,Institute Cargo Clauses (A) - All Risks,Coverage details are not mentioned in the LC but appear in the Insurance Certificate.
Letter of Credit,Packing List,Gross Weight,Not specified,"7,525.35 KGS",Gross weight is not mentioned in the LC but appears in the Packing List.
Letter of Credit,Packing List,Package Details,Not specified,"71 packages, Wooden crates / Cartons",Package details are not mentioned in the LC but appear in the Packing List.
Letter of Credit,Quality Certificate,Batch Number,Not specified,BATCH-838446,Batch number is not mentioned in the LC but appears in the Quality Certificate.
Letter of Credit,Quality Certificate,Production Date,Not specified,2025-12-13,Production date is not mentioned in the LC but appears in the Quality Certificate.
Letter of Credit,Quality Certificate,Compliance,Not specified,ISO 9001:2015 certified,Compliance details are not mentioned in the LC but appear in the Quality Certificate.
