Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
LC,Bill Of Exchange.txt,LC Number,ILCAE00221000098,CA21001978,LC number mismatch,High
LC,Bill Of Exchange.txt,Amount,"USD 60,465.00","USD 60, 465. 00",Formatting discrepancy in amount,Low
LC,Bill Of Exchange.txt,B/L Date,Not specified in LC,"JUL 1, 2021",Missing B/L date in LC,Medium
LC,Bill Of Exchange.txt,Due Date,Not specified in LC,"DEC 28, 2021",Missing due date in LC,Medium
LC,Bill Of Lading.txt,Port of Loading,ANY SEAPORT IN JAPAN,"YOKOHAMA, JAPAN","Specific port of loading not matching ""ANY SEAPORT IN JAPAN""",Medium
LC,Bill Of Lading.txt,Port of Discharge,"ANY SEAPORT IN ABU DHABI, UAE",ABU DHABI SEAPORT,"Specific port of discharge not matching ""ANY SEAPORT IN ABU DHABI, UAE""",Medium
LC,Bill Of Lading.txt,Notify Party Address,"GREEN OASIS CO. LLC, P.O BOX 1297, AL AIN, UAE TEL: 037511332 FAX: 037511533","GREEN OASIS CO. LLC, P. O. BOX1297, ALAIN, UAE TEL 037511332 FAX 037511533",Formatting difference in notify party address,Low
LC,Bill Of Lading.txt,Description of Goods,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES. (CHEMICAL),"Extra annotation ""(CHEMICAL)"" in description",Low
LC,Bill Of Lading.txt,Batch Number,Not specified in LC,K21020UA,Missing batch number in LC,Medium
LC,Bill Of Lading.txt,Manufacturing Date,Not specified in LC,MAR. 2021,Missing manufacturing date in LC,Medium
LC,Bill Of Lading.txt,Expiry Date,Not specified in LC,FEB. 2024,Missing expiry date in LC,Medium
LC,Commercial Invoice.txt,Date of Issue,210429,2021/6/7,Date of issue mismatch,High
LC,Commercial Invoice.txt,Description of Goods,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES. ALL OTHER DETAILS RELATED TO GOODS ARE AS PER BENEFICIARY'S PROFORMA INVOICE NOS. B7WE-20-5130-X DATED 29-03-2021,Extra details in description,Low
LC,Commercial Invoice.txt,Batch Number,Not specified in LC,K21020UA,Missing batch number in LC,Medium
LC,Commercial Invoice.txt,Manufacturing Date,Not specified in LC,MAR. 2021,Missing manufacturing date in LC,Medium
LC,Commercial Invoice.txt,Expiry Date,Not specified in LC,FEB. 2024,Missing expiry date in LC,Medium
LC,Commercial Invoice.txt,Amount,"USD 60,465.00","USD 60, 465. 00",Formatting discrepancy in amount,Low
LC,Packing List.txt,Description of Goods,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES. ALL OTHER DETAILS RELATED TO GOODS ARE AS PER BENEFICIARY'S PROFORMA INVOICE NOS. B7WE-20-5130-X DATED 29-03-2021,Extra details in description,Low
LC,Packing List.txt,Batch Number,Not specified in LC,K21020UA,Missing batch number in LC,Medium
LC,Packing List.txt,Manufacturing Date,Not specified in LC,MAR. 2021,Missing manufacturing date in LC,Medium
LC,Packing List.txt,Expiry Date,Not specified in LC,FEB. 2024,Missing expiry date in LC,Medium
LC,Certificate of Origin.txt,Description of Goods,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES,KANEMITE SC-1500 L (PACKING -500ML) PESTICIDES. (CHEMICAL),"Extra annotation ""(CHEMICAL)"" in description",Low
LC,Certificate of Origin.txt,Batch Number,Not specified in LC,K21020UA,Missing batch number in LC,Medium
LC,Certificate of Origin.txt,Manufacturing Date,Not specified in LC,MAR. 2021,Missing manufacturing date in LC,Medium
LC,Certificate of Origin.txt,Expiry Date,Not specified in LC,FEB. 2024,Missing expiry date in LC,Medium
LC,Insurance Certificate.txt,Amount Insured,Invoice value + 10%,"USD 66,512.00",Amount insured does not match LC requirement,High
LC,Insurance Certificate.txt,Vessel Age,Up to 25 years,25 years,Vessel age matches but lacks explicit confirmation of compliance,Low
LC,Insurance Certificate.txt,Insurance Agent Address,Not specified in LC,"INCHCAPE SHIPPING SERVICES (DUBAI) L.L.C., OFFICE COURT BUILDING, 5TH FLOOR, OUD METHA ROAD (P.O. BOX 33166), DUBAI, UNITED ARAB EMIRATES",Missing insurance agent address in LC,Medium
