Base Document,Target Document,Field(s),Base Value,Target Value,Issue,Severity Level
DC NUMBER,B/L NUMBER,LC12345,BOL-67890,Mismatch in reference number,High,
DATE OF ISSUE,DATE,2026-02-04,2026-03-10,Date mismatch,Medium,
APPLICANT,CONSIGNEE,Global Imports Inc.,To the order of Mega Bank,Consignee mismatch,High,
BENEFICIARY,SHIPPER,Precision Manufacturing Co.,Precision Manufacturing Co.,Match,Low,
DESCRIPTION OF GOODS,DESCRIPTION OF GOODS,"500 units of Precision Widgets, Model PW-100","500 units of Precision Widgets, Model PW-100",Match,Low,
INCOTERM,FREIGHT,CIF Shanghai Port,Prepaid,Incoterm mismatch,Medium,
AMOUNT,AMOUNT INSURED,"USD 50,000","USD 55,000",Insurance amount exceeds LC requirement,Medium,
LATEST DATE OF SHIPMENT,DATE,2026-03-15,2026-03-10,Compliant shipment date,Low,
EXPIRY DATE,DATE,2026-03-30,2026-03-10,Document date before expiry,Low,
DOCUMENT LANGUAGE,LANGUAGE,English,English,Match,Low,
