Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit,Bill of Lading,Gross Weight,Not specified,541.80 KGS,Gross weight is mentioned in the Bill of Lading but not in the LC.
Letter of Credit,Bill of Lading,Freight,Not specified,PREPAID,Freight details are not mentioned in the LC but are specified in the Bill of Lading.
Letter of Credit,Certificate of Origin,Country of Origin,Germany,Not explicitly stated in LC,Country of origin is explicitly stated in the Certificate of Origin but not in the LC.
Letter of Credit,Insurance Certificate,Insured Value,Not specified,"USD 428,465.98",Insured value is not mentioned in the LC but is specified in the Insurance Certificate.
Letter of Credit,Insurance Certificate,Coverage,Not specified,Institute Cargo Clauses (A) - All Risks,Coverage details are not mentioned in the LC but are specified in the Insurance Certificate.
Letter of Credit,Packing List,Gross Weight,Not specified,541.80 KGS,Gross weight is mentioned in the Packing List but not in the LC.
Letter of Credit,Packing List,Package Details,Not specified,"5 packages, Wooden crates/Cartons",Package details are not mentioned in the LC but are specified in the Packing List.
Letter of Credit,Quality Certificate,Batch Number,Not specified,BATCH-574426,Batch number is not mentioned in the LC but is specified in the Quality Certificate.
Letter of Credit,Quality Certificate,Production Date,Not specified,2025-12-13,Production date is not mentioned in the LC but is specified in the Quality Certificate.
Letter of Credit,Quality Certificate,Compliance,Not specified,ISO 9001:2015 certified,Compliance details are not mentioned in the LC but are specified in the Quality Certificate.
Letter of Credit,Quality Certificate,Test Results,Not specified,PASSED,Test results are not mentioned in the LC but are specified in the Quality Certificate.
