Base Document,Target Document,Field(s),Base Value,Target Value,Issue
Letter of Credit (LC),Document 1.txt,Contract Number,WTG-2024-010,WTG-2024-011,Contract number mismatch.
Letter of Credit (LC),Document 1.txt,Contract Date,"March 20, 2024","March 25, 2024",Contract date mismatch.
Letter of Credit (LC),Document 1.txt,Goods Description,5 units of Wind Turbine Generators,6 units of Wind Turbine Generators,Quantity discrepancy in goods description.
Letter of Credit (LC),Document 1.txt,Contract Value,"EUR 500,000.00 (implied from LC)","EUR 550,000.00",Contract value mismatch.
Letter of Credit (LC),Document 3.txt,Invoice Number,Not specified in LC,API-7789,Invoice number missing in LC.
Letter of Credit (LC),Document 3.txt,Invoice Date,Not specified in LC,"April 08, 2024",Invoice date missing in LC.
Letter of Credit (LC),Document 3.txt,Advance Amount,"EUR 50,000.00","EUR 55,000.00",Advance amount discrepancy.
Letter of Credit (LC),Document 5.txt,Payment Reference,Contract No. WTG-2024-010,Contract No. WTG-2024-010,No discrepancy.
Letter of Credit (LC),Document 5.txt,Amount Credited,"EUR 50,000.00","EUR 50,000.00",No discrepancy.
Letter of Credit (LC),Document 7.txt,Certified Delivery,Not specified in LC,Delivery of 3 units of Wind Turbine Generators,Delivery details missing in LC.
Letter of Credit (LC),Document 7.txt,Certified Value,Not specified in LC,"EUR 330,000.00",Certified value missing in LC.
Letter of Credit (LC),Document 7.txt,Requested Reduction Amount,Reduction Clause (10% per invoice),"EUR 30,000.00",Reduction amount mismatch with LC clause.
Letter of Credit (LC),Document 7.txt,Remaining Guarantee Amount,"EUR 50,000.00 (initial)","EUR 20,000.00",Remaining guarantee amount mismatch.
