Base Document,Target Document,Field(s),Base Value,Target Value,Issue
ilc.txt,Document 10.txt,Goods Description,"Knitted cotton T‑shirts, 100% cotton","Knitted T‑shirts, 97% cotton / 3% elastane (short sleeve, crew neck)",Goods description does not match; fiber content differs.
ilc.txt,Document 10.txt,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy.
ilc.txt,Document 10.txt,Remarks,Not mentioned,Banking charges outside UAE for applicant as per sales terms,Extra information in remarks.
ilc.txt,Document 2.txt,Buyer Specification,VGE/KT-2025-09,VGE/KT-2025-09 (Rev A),Buyer specification revision mismatch.
ilc.txt,Document 3.txt,Coverage Clauses,"Institute Cargo Clauses (C), Institute War Clauses (Cargo), Institute Strikes, Riots and Civil Commotions (Cargo)","Institute Cargo Clauses (A), Institute War Clauses (Cargo), Institute Strikes, Riots & Civil Commotions (Cargo)",Coverage clauses mismatch.
ilc.txt,Document 3.txt,Claims Payable,Vietnam,"Dubai, United Arab Emirates",Claims payable location mismatch.
ilc.txt,Document 6.txt,Port of Discharge,"Cat Lai Terminal, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",Port of discharge is not specific.
ilc.txt,Document 6.txt,On Board Notation Date,Shipped on Board date not later than 25-Sep-2025,Shipped on Board 26-Sep-2025,Shipment date exceeds the latest shipment date.
ilc.txt,Document 8.txt,Gross Weight,"4,200.00 kg","4,198.00 kg",Gross weight discrepancy.
ilc.txt,Document 8.txt,Net Weight,"4,000.00 kg","3,998.00 kg",Net weight discrepancy.
ilc.txt,Document 8.txt,Cartons per Pallet,Not specified,Pallet 7 = 49 cartons,Carton count per pallet does not match total cartons.
